component,1,2,3,4,5,6,7,8,9,10,11,Cycle
1,95.01 (C),98.90 (C),96.58 (C),93.48 (C),93.14 (C),94.00 (C),93.53 (C),91.92 (C),96.72 (C),101.93 (C),105.43 (C),1.00 (s)
2,95.18 (C),99.10 (C),96.90 (C),93.46 (C),93.26 (C),93.53 (C),93.22 (C),91.72 (C),97.33 (C),102.03 (C),105.46 (C),54.00 (s)
3,95.01 (C),98.81 (C),96.62 (C),93.33 (C),92.94 (C),93.41 (C),93.96 (C),92.10 (C),97.79 (C),103.40 (C),105.47 (C),53.50 (s)
4,94.95 (C),98.70 (C),96.63 (C),93.45 (C),93.12 (C),93.72 (C),93.64 (C),92.09 (C),96.65 (C),103.23 (C),105.32 (C),53.50 (s)
5,94.08 (C),97.88 (C),96.02 (C),92.95 (C),92.71 (C),93.32 (C),93.36 (C),91.66 (C),95.97 (C),102.60 (C),105.38 (C),54.00 (s)
6,94.36 (C),98.50 (C),96.44 (C),92.98 (C),92.97 (C),93.39 (C),93.46 (C),91.72 (C),96.53 (C),102.87 (C),105.42 (C),53.50 (s)
7,94.79 (C),98.77 (C),96.68 (C),93.33 (C),93.06 (C),93.64 (C),93.70 (C),92.15 (C),97.76 (C),103.47 (C),105.29 (C),53.50 (s)
8,94.69 (C),98.40 (C),96.49 (C),93.22 (C),92.79 (C),93.53 (C),93.42 (C),91.75 (C),96.49 (C),102.81 (C),105.44 (C),54.00 (s)
9,95.14 (C),98.75 (C),96.55 (C),93.22 (C),93.02 (C),93.64 (C),93.37 (C),91.82 (C),97.10 (C),103.19 (C),105.26 (C),53.50 (s)
10,94.80 (C),98.23 (C),96.63 (C),93.31 (C),93.09 (C),93.89 (C),93.45 (C),91.97 (C),96.24 (C),102.96 (C),105.30 (C),53.50 (s)
11,94.58 (C),98.34 (C),96.37 (C),92.98 (C),92.94 (C),93.59 (C),93.39 (C),91.67 (C),96.46 (C),103.02 (C),105.29 (C),54.00 (s)
12,94.48 (C),98.34 (C),96.43 (C),93.34 (C),92.94 (C),93.47 (C),93.29 (C),91.78 (C),96.61 (C),103.05 (C),105.43 (C),53.50 (s)
13,94.94 (C),98.39 (C),96.58 (C),93.05 (C),92.99 (C),93.85 (C),93.57 (C),91.73 (C),96.48 (C),103.09 (C),105.58 (C),107.50 (s)
14,94.74 (C),98.54 (C),96.37 (C),93.13 (C),93.06 (C),93.62 (C),93.36 (C),91.99 (C),96.41 (C),102.98 (C),105.35 (C),53.50 (s)
15,94.94 (C),98.74 (C),96.55 (C),93.60 (C),93.08 (C),93.68 (C),93.44 (C),92.03 (C),96.49 (C),102.96 (C),105.47 (C),53.50 (s)
16,94.03 (C),98.42 (C),96.09 (C),93.07 (C),92.64 (C),93.43 (C),93.52 (C),91.68 (C),96.15 (C),102.69 (C),105.37 (C),54.00 (s)
17,94.93 (C),98.58 (C),96.27 (C),93.13 (C),92.66 (C),93.52 (C),93.42 (C),91.90 (C),96.44 (C),103.06 (C),105.53 (C),53.50 (s)
18,94.68 (C),98.56 (C),96.25 (C),93.15 (C),92.97 (C),93.65 (C),93.61 (C),91.95 (C),96.50 (C),102.83 (C),105.38 (C),53.50 (s)
19,94.73 (C),98.74 (C),96.47 (C),93.27 (C),92.85 (C),93.49 (C),93.52 (C),91.99 (C),96.36 (C),103.05 (C),105.41 (C),54.00 (s)
20,94.69 (C),98.83 (C),96.69 (C),93.47 (C),93.15 (C),93.64 (C),93.72 (C),92.19 (C),96.38 (C),103.32 (C),105.43 (C),53.50 (s)
21,94.25 (C),98.63 (C),96.20 (C),92.78 (C),92.85 (C),93.36 (C),93.55 (C),91.75 (C),96.26 (C),102.89 (C),105.37 (C),53.50 (s)
22,94.65 (C),98.54 (C),96.55 (C),93.40 (C),92.95 (C),93.67 (C),93.53 (C),92.16 (C),96.23 (C),103.21 (C),105.30 (C),54.00 (s)
23,94.47 (C),98.55 (C),96.30 (C),92.99 (C),92.64 (C),93.43 (C),93.18 (C),91.88 (C),96.57 (C),102.96 (C),105.46 (C),53.50 (s)
24,95.06 (C),98.70 (C),96.62 (C),93.33 (C),93.14 (C),93.72 (C),93.36 (C),92.05 (C),96.49 (C),103.21 (C),105.54 (C),53.50 (s)
25,94.15 (C),97.87 (C),95.98 (C),92.83 (C),92.77 (C),93.48 (C),93.28 (C),91.58 (C),96.13 (C),102.80 (C),105.26 (C),54.00 (s)
26,95.12 (C),98.72 (C),97.15 (C),93.36 (C),93.50 (C),94.15 (C),93.80 (C),92.40 (C),96.23 (C),103.56 (C),105.23 (C),53.50 (s)
27,94.68 (C),98.34 (C),96.20 (C),93.29 (C),92.87 (C),93.50 (C),93.35 (C),91.73 (C),96.41 (C),102.78 (C),105.25 (C),53.50 (s)
28,94.44 (C),98.29 (C),96.39 (C),93.18 (C),92.81 (C),93.42 (C),93.21 (C),91.53 (C),96.41 (C),102.81 (C),105.22 (C),54.00 (s)
29,94.75 (C),98.33 (C),96.48 (C),93.34 (C),92.85 (C),93.75 (C),93.56 (C),91.75 (C),97.17 (C),103.09 (C),105.06 (C),53.50 (s)
30,94.91 (C),98.83 (C),96.64 (C),93.23 (C),93.19 (C),93.76 (C),93.67 (C),92.07 (C),96.31 (C),102.97 (C),105.18 (C),53.50 (s)
31,94.47 (C),98.42 (C),96.38 (C),93.26 (C),92.81 (C),93.51 (C),93.65 (C),91.92 (C),97.74 (C),103.51 (C),105.09 (C),54.00 (s)
32,94.97 (C),98.93 (C),96.36 (C),93.21 (C),92.96 (C),93.65 (C),93.52 (C),91.88 (C),96.52 (C),103.10 (C),105.50 (C),53.50 (s)
33,94.59 (C),98.42 (C),96.27 (C),93.02 (C),93.03 (C),93.65 (C),93.38 (C),91.83 (C),96.62 (C),102.79 (C),105.31 (C),53.50 (s)
34,94.18 (C),97.90 (C),96.50 (C),93.06 (C),93.03 (C),93.50 (C),93.38 (C),91.79 (C),97.03 (C),102.97 (C),105.12 (C),54.00 (s)
35,94.56 (C),98.22 (C),96.51 (C),92.93 (C),93.22 (C),93.61 (C),93.12 (C),91.63 (C),97.57 (C),103.13 (C),105.25 (C),53.50 (s)
36,94.82 (C),99.11 (C),96.96 (C),93.31 (C),93.14 (C),93.90 (C),93.70 (C),92.10 (C),96.78 (C),103.29 (C),105.08 (C),53.50 (s)
37,94.01 (C),98.26 (C),96.41 (C),92.96 (C),92.77 (C),93.25 (C),93.26 (C),91.66 (C),95.92 (C),102.76 (C),105.04 (C),54.00 (s)
